"null";"07.01";"Patates (taze veya soğutulmuş):";;
"null";"0701.10.00.00.00";" - Tohumluk";"-";25
"null";"0701.90";" - Diğerleri:";;
"null";"0701.90.10.00.00";" - - Nişasta imalinde kullanılanlar";"-";25
"null";;" - - Diğerleri:";" ";
"null";"0701.90.50.00.00";" - - - Taze (1 Ocak'tan 30 Haziran'a kadar olanlar)";"-";25
"null";"0701.90.90.00.00";" - - - Diğerleri";"-";25
"null";;;;
"null";"0702.00.00.00.00";"Domates (taze veya soğutulmuş) ";"-";54
"null";;;;
"null";"07.03";"Soğanlar, şalotlar, sarımsaklar, pırasalar ve diğer soğanımsı";;
"null";;"sebzeler (taze veya soğutulmuş):";;
"null";"0703.10";" - Soğanlar ve şalotlar:";;
"null";;" - - Soğanlar:";;
"null";"0703.10.11.00.00";" - - - Arpacık soğanı";"-";55
"null";;" - - - Diğerleri";;
"null";"0703.10.19.00.11";" - - - - Kuru soğan";"-";55
"null";"0703.10.19.00.12";" - - - - Taze (yeşil) soğan";"-";55
"null";"0703.10.90.00.00";" - - Şalotlar";"-";55
"null";"0703.20";" - Sarımsaklar:";;
"null";"0703.20.00.00.11";" - - Taze (yeşil) sarımsak";"-";55
"null";"0703.20.00.00.12";" - - Kuru sarımsak";"-";55
"null";"0703.90";" - Pırasa ve diğer soğanımsı sebzeler:";;
"null";"0703.90.00.00.11";" - - Pırasa ";"-";55
"null";"0703.90.00.00.12";" - - Soğanımsı sebzeler";"-";55
"null";;;;
"null";"07.04";"Lahanalar, karnabaharlar, alabaşlar, yaprak lahanalar ve benzeri";;
"null";;"yenilen brassikalar (taze veya soğutulmuş):";;
"null";"0704.10";" - Karnabaharlar ve brokoli";;
"null";;" - - Karnabaharlar ve başlı brokoli";;
"null";"0704.10.10.00.11";" - - -  Karnabahar";"-";25
"null";"0704.10.10.00.12";" - - -  Brokoli";"-";25
"null";"0704.10.90.00.00";" - - Diğerleri";"-";25
"null";"0704.20.00.00.00";" - Brüksel lahanası";"-";25
"null";"0704.90";" - Diğerleri:";;
"null";;" - - Beyaz lahana ve kırmızı lahana";;
"null";"0704.90.10.00.11";" - - - Beyaz lahana ";"-";25
"null";"0704.90.10.00.12";" - - - Kırmızı lahana";"-";25
"null";"0704.90.90.00.00";" - - Diğerleri";"-";25
"null";;;;
"null";"07.05";"Marul ( Lactuca sativa) ve hindiba (Cichorium spp.)";;
"null";;"(taze veya soğutulmuş) :";;
"null";;" - Marul :";;
"null";"0705.11.00.00.00";" - - Baş marul";"-";25
"null";"0705.19.00.00.00";" - -  Diğerleri ";"-";25
"null";;" - Hindiba:";;
"null";"0705.21.00.00.00";" - - Başlı hindiba (Cichorium intybus var. folioeum)";"-";25
"null";"0705.29.00.00.00";" - - Diğerleri";"-";25
"null";;;;
"null";"07.06";"Havuçlar, şalgamlar, kırmızı pancar, teke sakalı (salsifis), kök ";;
"null";;"kerevizi, turplar ve benzeri yenilen kökler (taze veya soğutulmuş):";;
"null";"0706.10";" - Havuçlar ve şalgamlar";;" "
"null";"0706.10.00.00.11";" - - Havuçlar ";"-";41
"null";"0706.10.00.00.12";" - - Şalgamlar";"-";41
"null";"0706.90";" - Diğerleri :";;
"null";"0706.90.10.00.00";" - - Kök kerevizi ";"-";41
"null";"0706.90.30.00.00";" - - Bayır turbu (Cochlearia armoracia)";"-";41
"null";"0706.90.90.00.00";" - - Diğerleri";"-";41
"null";;;;
"null";"0707.00";"Hıyarlar ve kornişonlar (taze veya soğutulmuş) :";;
"null";"0707.00.05.00.00";" - Hıyarlar ";"-";"33 "
"null";"0707.00.90.00.00";" - Kornişonlar";"-";"33 "
"null";;;;
"null";"07.08";"Baklagiller (kabuklu veya kabuksuz) (taze veya soğutulmuş):";;
"null";"0708.10";" - Bezelye (Pisum sativum) ";;
"null";"0708.10.00.00.11";" - -  Kabuklu";"-";25
"null";"0708.10.00.00.12";" - -  Kabuksuz";"-";25
"null";"0708.20";" - Fasulye (Vigna spp., Phaseotus spp.) ";;
"null";"0708.20.00.00.11";" - -  Fasulye ";"-";25
"null";"0708.20.00.00.12";" - -  Barbunya (kabuklu)";"-";25
"null";"0708.20.00.00.13";" - -  Barbunya (kabuksuz)";"-";25
"null";"0708.90";" - Diğer baklagiller";;" "
"null";"0708.90.00.00.11";" - - Kabuklu baklagiller";"-";25
"null";"0708.90.00.00.12";" - - Kabuksuz baklagiller";"-";25
"null";;;;
"null";"07.09";"Diğer sebzeler(taze veya soğutulmuş):";;
"null";"0709.20.00.00.00";" - Kuşkonmazlar";"-";25
"null";"0709.30.00.00.00";" - Patlıcanlar";"-";25
"null";"0709.40.00.00.00";" - Yaprak kerevizleri (kök kerevizleri hariç)";"-";25
"null";;" - Mantarlar ve domalanlar:";;
"null";"0709.51.00.00.00";" - - Agaricus cinsi mantarlar";"-";25
"null";"0709.52.00.00.00";" - - Boletus cinsi mantarlar";"-";25
"null";"0709.53.00.00.00";" - - Cantharellus cinsi mantarlar";"-";25
"null";"0709.54.00.00.00";" - - Shiitake (Lentinus edodes)";"-";25
"null";"0709.55.00.00.00";" - - Matsutake (Tricholoma matsutake, Tricholoma magnivelare, ";;
"null";;"     Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum)";"-";25
"null";"0709.56.00.00.00";" - - Domalanlar (Tuber spp.)";"-";25
"null";"0709.59.00.00.00";" - - Diğerleri ";"-";25
"null";"0709.60";" - Capsicum veya Pimenta cinsi meyveler:";;
"null";;" - - Tatlı (Capsicum grossum) biberler  ";;" "
"null";"0709.60.10.00.11";" - - - Sivri biber";"-";100
"null";"0709.60.10.00.12";" - - - Dolmalık biber";"-";100
"null";"0709.60.10.00.13";" - - - Çarliston biber";"-";100
"null";"0709.60.10.00.14";" - - - Kırmızı biber (paprika)";"-";100
"null";"0709.60.10.00.19";" - - - Diğerleri";"-";100
"null";;" - - Diğerleri:";;
"null";"0709.60.91.00.00";" - - - Capsicum oleoresin boyaları ve Capsisin imalinde kullanılan ";;
"null";;"        Capsicum cinsi biberler";"-";100
