"null";"10.01";"Buğday ve mahlut: ";;
"null";;" - Makarnalık buğday (durum buğdayı):";" ";" "
"null";"1001.11.00.00.00";" - - Tohumluk ";"-";200
"null";"1001.19.00.00.00";" - - Diğerleri";"-";200
"null";;" - Diğerleri:";;
"null";"1001.91";" - - Tohumluk:";;
"null";"1001.91.10.00.00";" - - - Kaplıca (kızıl) buğday";"-";200
"null";;" - - - Adi buğday ve mahlut:";;
"null";"1001.91.20.00.11";" - - - - Adi buğday";"-";200
"null";"1001.91.20.00.12";" - - - - Mahlut";"-";200
"null";"1001.91.90.00.00";" - - - Diğerleri";"-";200
"null";;" - - Diğerleri:";;
"null";"1001.99.00.00.11";" - - - Adi buğday";"-";200
"null";"1001.99.00.00.12";" - - - Mahlut";"-";200
"null";"1001.99.00.00.13";" - - - Kaplıca (kızıl) buğday";"-";200
"null";;;;
"null";"10.02";"Çavdar ";;
"null";"1002.10.00.00.00";" - Tohumluk ";"-";200
"null";"1002.90.00.00.00";" - Diğerleri";"-";200
"null";;;;
"null";"10.03";"Arpa:";;
"null";"1003.10";" - Tohumluk:";;
"null";"1003.10.00.00.11";" - - Beyaz arpa";"-";200
"null";"1003.10.00.00.19";" - - Diğerleri";"-";200
"null";"1003.90";" - Diğerleri:";;
"null";"1003.90.00.00.11";" - - Beyaz arpa";"-";200
"null";"1003.90.00.00.12";" - - Maltlık arpa";"-";200
"null";"1003.90.00.00.19";" - - Diğerleri";"-";200
"null";;;;
"null";"10.04";"Yulaf";;
"null";"1004.10.00.00.00";"- Tohumluk";"-";200
"null";"1004.90.00.00.00";"- Diğerleri";"-";200
"null";;;;
"null";"10.05";"Mısır: ";;
"null";"1005.10";" - Tohumluk:";;
"null";;" - - Melezler:";;
"null";"1005.10.13.00.00";" - - - Üçlü melez";"-";200
"null";"1005.10.15.00.00";" - - - Tek melez";"-";200
"null";"1005.10.18.00.00";" - - - Diğerleri";"-";200
"null";"1005.10.90.00.00";" - - Diğer tohumluklar";"-";200
"null";"1005.90";" - Diğerleri :";;
"null";"1005.90.00.00.11";" - - Cin mısırı (patlamış mısır-pop corn yapımında kullanılan mısır) ";"-";200
"null";"1005.90.00.00.19";" - - Diğerleri";"-";200
"null";;;;
"null";"10.06";"Pirinç: ";;
"null";"1006.10";" - Kavuz içinde bulunan pirinç (çeltik):";;
"null";"1006.10.10.00.00";" - - Tohumluk olanlar";"-";50
"null";;" - - Diğerleri:";;
"null";"1006.10.30.00.00";" - - - Yuvarlak taneli";"-";50
"null";"1006.10.50.00.00";" - - - Orta taneli";"-";50
"null";;" - - - Uzun taneli:";;
"null";"1006.10.71.00.00";" - - - - Uzunluk/genişlik oranı 2'den büyük fakat 3'ten küçük olanlar";"-";50
"null";"1006.10.79.00.00";" - - - - Uzunluk/genişlik oranı 3'e eşit veya büyük olanlar";"-";50
"null";"1006.20";" - Kavuzu çıkarılmış (kahverengi) pirinç:";;
"null";;" - - Yarı haşlanmış:";;
"null";"1006.20.11.00.00";" - - - Yuvarlak taneli";"-";50
"null";"1006.20.13.00.00";" - - - Orta taneli";"-";50
"null";;" - - - Uzun taneli:";;
"null";"1006.20.15.00.00";" - - - - Uzunluk/genişlik oranı 2'den büyük fakat 3'ten küçük olanlar";"-";50
"null";"1006.20.17.00.00";" - - - - Uzunluk/genişlik oranı eşit veya 3'ten büyük olanlar";"-";50
"null";;" - - Diğerleri:";;
"null";"1006.20.92.00.00";" - - - Yuvarlak taneli";"-";50
"null";"1006.20.94.00.00";" - - - Orta taneli";"-";50
"null";;" - - - Uzun taneli:";;
"null";"1006.20.96.00.00";" - - - - Uzunluk/genişlik oranı 2'den büyük fakat 3'ten küçük olanlar";"-";50
"null";"1006.20.98.00.00";" - - - - Uzunluk/genişlik oranı eşit veya 3'ten büyük olanlar";"-";50
"null";"1006.30";" - Yarı veya tam olarak değirmenden geçirilmiş pirinç (parlatıl-";;
"null";;"   mış veya perdahlanmış olsun olmasın):";;
"null";;" - - Yarı olarak değirmenden geçirilmiş pirinç:";;
"null";;" - - - Yarı haşlanmış:";;
"null";"1006.30.21.00.00";" - - - - Yuvarlak taneli";"-";50
"null";"1006.30.23.00.00";" - - - - Orta taneli";"-";50
"null";;" - - - - Uzun taneli:";;
"null";"1006.30.25.00.00";" - - - - - Uzunluk/genişlik oranı 2'den büyük fakat 3'ten küçük olanlar";"-";50
"null";"1006.30.27.00.00";" - - - - - Uzunluk/genişlik oranı eşit veya 3'ten büyük olanlar";"-";50
"null";;" - - - Diğerleri:";;
"null";"1006.30.42.00.00";" - - - - Yuvarlak taneli";"-";50
"null";"1006.30.44.00.00";" - - - - Orta taneli";"-";50
"null";;" - - - - Uzun taneli:";;
"null";"1006.30.46.00.00";" - - - - - Uzunluk/genişlik oranı 2'den büyük fakat 3'tenküçük olanlar";"-";50
"null";"1006.30.48.00.00";" - - - - - Uzunluk/genişlik oranı eşit veya 3'ten büyük olanlar";"-";50
"null";;" - - Tam olarak değirmenden geçirilmiş pirinç:";;
"null";;" - - - Yarı haşlanmış:";;
"null";"1006.30.61.00.00";" - - - - Yuvarlak taneli";"-";50
"null";"1006.30.63.00.00";" - - - - Orta taneli";"-";50
