"null";"45.01";"Tabii mantar (işlenmemiş veya basit bir şekilde hazırlanmış);";;
"null";;"döküntü mantar; ezilmiş, granül veya toz haline getirilmiş mantar:";;
"null";"4501.10.00.00.00";" - Tabii mantar (işlenmemiş veya basit bir şekilde hazırlanmış)";"-";"15"
"null";"4501.90.00.00.00";" - Diğerleri";"-";"15 "
"null";;;" ";
"null";"4502.00.00.00.00";"Tabii mantar, dış kabuğu alınmış veya kabaca kare şekli verilmiş";" ";
"null";;"ya da dikdörtgen (kare dahil) şeklinde bloklar, levhalar, yapraklar ";" ";
"null";;"veya şerit halinde (keskin kenarlı tıpa taslakları dahil)";"-";25
"null";;;" ";
"null";"45.03";"Tabii mantardan eşya:";" ";
"null";"4503.10";" - Tıpalar ve tıkaçlar :";" ";
"null";"4503.10.10.00.00";" - - Silindirik olanlar";"-";50
"null";"4503.10.90.00.00";" - - Diğerleri";"-";50
"null";"4503.90.00.00.00";" - Diğerleri";"-";50
"null";;;" ";
"null";"45.04";"Aglomere mantar (bağlayıcı bir madde içersin içermesin) ve ";" ";
"null";;"aglomere mantardan eşya:";" ";
"null";"4504.10";" - Blok, levha, yaprak ve şeritler; her şekildeki karolar; bütün";" ";
"null";;"   halindeki silindirler (diskler dahil) :";;
"null";;" - - Tıpalar ve tıkaçlar :";;
"null";"4504.10.11.00.00";" - - - Köpüklü şaraplar için olanlar (sızdırmazlık halkası mantardan olan-";;
"null";;"        lar dahil)";"-";35
"null";"4504.10.19.00.00";" - - - Diğerleri";"-";35
"null";;" - - Diğerleri :";" ";
"null";"4504.10.91.00.00";" - - - Bağlayıcı madde içerenler";"-";35
"null";;" - - - Diğerleri";" ";
"null";"4504.10.99.00.11";" - - - - Taçlı tıpa imalinde kullanılan diskler";"-";35
"null";"4504.10.99.00.12";" - - - - Ham aglomere mantar (bloklar,levhalar,yapraklar,tüp çubuk ve ";;
"null";" ";"          diğer iptidai şekillerde)";"-";35
"null";"4504.10.99.00.19";" - - - - Diğerleri";"-";35
"null";"4504.90";" - Diğerleri :";;
"null";"4504.90.20.00.00";" - - Tıpalar ve tıkaçlar";"-";50
"null";"4504.90.80.00.00";" - - Diğerleri";"-";50
